Variable,Sum (bn),Nonzero count (m)
RECID,917297.3,196.8
MARS,0.4,196.8
e00200p,7998.9,124.8
e00200s,2678.3,44.8
e00200,10677.1,125.2
age_head,9.1,182.6
age_spouse,3.1,61.8
blind_head,0.0,2.5
blind_spouse,0.0,0.1
fips,2.1,196.8
s006,0.2,0.2
FLPDYR,398.3,196.8
EIC,0.1,58.7
nu18,0.1,57.7
n1820,0.0,11.2
nu13,0.1,44.7
nu06,0.0,26.1
n24,0.1,55.0
elderly_dependents,0.0,0.0
f2441,0.1,44.7
e00900p,508.2,18.3
e00900s,0.5,0.1
e00900,508.7,18.4
e02100p,-29.4,0.6
e02100s,-0.0,0.0
e02100,-29.5,0.6
e01500,1.4,1.0
e00800,0.4,0.0
e02400,477.6,23.9
e02300,0.1,0.1
XTOT,0.3,196.8
ssi_ben,107.8,10.8
mcaid_ben,1084.5,81.4
tanf_ben,39.4,5.2
snap_ben,192.4,79.4
housing_ben,16.8,3.9
DSI,0.0,0.0
n21,0.2,177.0
e00600,445.3,29.6
e18400,597.6,128.3
e00650,353.8,27.6
e00300,137.5,55.8
e00400,62.5,17.0
e01700,1.4,1.0
e01100,11.8,4.4
e01400,0.7,0.5
e03270,28.6,4.1
e32800,18.3,6.5
e17500,84.1,35.8
pencon_p,24.8,11.2
pencon_s,1.8,0.7
e03150,0.0,0.0
e03210,0.1,0.1
p22250,-69.4,4.5
p23250,1313.8,13.5
wic_ben,17.7,9.6
is_tax_filer,0.1,124.7
e02000,717.7,11.5
e26270,633.1,6.2
e19200,306.6,33.4
e18500,188.9,37.7
e19800,163.5,33.3
e20400,159.0,27.8
e20100,72.9,22.6
e00700,31.4,20.5
e24515,27.6,1.2
e03300,24.2,1.0
e07300,23.2,8.0
e62900,19.9,2.7
e87530,17.6,2.5
e03240,13.2,0.7
e01200,11.5,1.1
e24518,6.2,0.1
e09900,6.2,5.5
e27200,4.4,0.4
e03290,4.3,1.4
e58990,4.0,0.2
e03230,3.9,1.7
e07400,3.7,0.4
e11200,3.1,1.6
e07260,2.1,2.6
e07240,1.4,8.1
e07600,1.0,0.3
e03220,1.0,3.7
p08000,0.7,0.2
e03400,0.1,0.5
e09800,0.0,0.1
e09700,0.0,0.0
e03500,7.0,0.5
e87521,22.1,9.7
PT_binc_w2_wages,113.2,23.6
