Variable,Sum (bn),Nonzero count (m)
RECID,873592.7,195.7
MARS,0.4,195.7
e00200p,8359.4,124.0
e00200s,2802.5,44.7
e00200,11161.8,124.4
age_head,9.0,181.5
age_spouse,3.0,61.7
blind_head,0.0,2.4
blind_spouse,0.0,0.1
fips,2.1,195.7
s006,0.2,0.2
FLPDYR,396.4,195.7
EIC,0.1,58.7
nu18,0.1,57.7
n1820,0.0,11.1
nu13,0.1,44.7
nu06,0.0,26.1
n24,0.1,55.0
elderly_dependents,0.0,0.0
f2441,0.1,44.7
e00900p,531.7,18.3
e00900s,0.2,0.1
e00900,531.9,18.3
e02100p,-30.1,0.6
e02100s,-0.0,0.0
e02100,-30.2,0.6
e01500,1.3,1.0
e00800,0.4,0.0
e02400,491.5,23.3
e02300,0.1,0.1
XTOT,0.3,195.7
ssi_ben,105.3,10.4
mcaid_ben,1053.0,79.4
tanf_ben,37.6,5.0
snap_ben,183.9,75.3
housing_ben,16.6,3.9
DSI,0.0,0.0
n21,0.2,176.0
e00600,464.1,29.5
e18400,639.5,128.0
e00650,365.3,27.5
e00300,149.2,55.5
e00400,67.8,16.7
e01700,1.3,1.0
e01100,11.8,4.4
e01400,0.7,0.4
e03270,28.6,4.1
e32800,18.3,6.5
e17500,83.8,34.9
pencon_p,24.6,10.9
pencon_s,1.7,0.6
e03150,0.0,0.0
e03210,0.1,0.1
p22250,-68.2,4.5
p23250,1294.3,13.5
wic_ben,18.0,9.4
is_tax_filer,0.1,124.9
e02000,717.7,11.5
e26270,633.1,6.2
e19200,306.6,33.4
e18500,188.9,37.7
e19800,163.5,33.3
e20400,159.0,27.8
e20100,72.9,22.6
e00700,31.4,20.5
e24515,27.6,1.2
e03300,24.2,1.0
e07300,23.2,8.0
e62900,19.9,2.7
e87530,17.6,2.5
e03240,13.2,0.7
e01200,11.5,1.1
e24518,6.2,0.1
e09900,6.2,5.5
e27200,4.4,0.4
e03290,4.3,1.4
e58990,4.0,0.2
e03230,3.9,1.7
e07400,3.7,0.4
e11200,3.1,1.6
e07260,2.1,2.6
e07240,1.4,8.1
e07600,1.0,0.3
e03220,1.0,3.7
p08000,0.7,0.2
e03400,0.1,0.5
e09800,0.0,0.1
e09700,0.0,0.0
e03500,7.0,0.5
e87521,22.1,9.7
