Variable,Sum (bn),Nonzero count (m)
RECID,1045060.9,199.1
MARS,0.4,199.1
e00200p,7213.1,126.7
e00200s,2407.8,44.9
e00200,9620.9,127.2
age_head,9.2,184.9
age_spouse,3.1,62.0
blind_head,0.0,2.6
blind_spouse,0.0,0.1
fips,2.2,199.1
s006,0.2,0.2
FLPDYR,402.6,199.1
EIC,0.1,58.7
nu18,0.1,57.7
n1820,0.0,11.3
nu13,0.1,44.7
nu06,0.0,26.1
n24,0.1,55.0
elderly_dependents,0.0,0.0
f2441,0.1,44.7
e00900p,467.9,18.4
e00900s,0.4,0.1
e00900,468.3,18.4
e02100p,-26.5,0.6
e02100s,-0.0,0.0
e02100,-26.6,0.6
e01500,1.8,1.3
e00800,0.4,0.0
e02400,411.9,25.4
e02300,0.1,0.1
XTOT,0.3,199.1
ssi_ben,116.5,12.4
mcaid_ben,1160.5,86.5
tanf_ben,44.6,5.8
snap_ben,214.7,88.1
housing_ben,17.5,4.1
DSI,0.0,0.0
n21,0.2,179.2
e00600,401.2,29.9
e18400,508.2,127.8
e00650,330.3,27.9
e00300,106.2,56.9
e00400,48.2,17.7
e01700,1.8,1.3
e01100,11.8,4.4
e01400,1.0,0.6
e03270,28.6,4.1
e32800,18.3,6.5
e17500,82.1,37.8
pencon_p,25.1,12.1
pencon_s,2.0,0.8
e03150,0.0,0.0
e03210,0.1,0.1
p22250,-70.0,4.6
p23250,1318.4,13.6
wic_ben,16.9,10.1
is_tax_filer,0.1,124.1
e02000,717.7,11.5
e26270,633.1,6.2
e19200,306.6,33.4
e18500,188.9,37.7
e19800,163.5,33.3
e20400,159.0,27.8
e20100,72.9,22.6
e00700,31.4,20.5
e24515,27.6,1.2
e03300,24.2,1.0
e07300,23.2,8.0
e62900,19.9,2.7
e87530,17.6,2.5
e03240,13.2,0.7
e01200,11.5,1.1
e24518,6.2,0.1
e09900,6.2,5.5
e27200,4.4,0.4
e03290,4.3,1.4
e58990,4.0,0.2
e03230,3.9,1.7
e07400,3.7,0.4
e11200,3.1,1.6
e07260,2.1,2.6
e07240,1.4,8.1
e07600,1.0,0.3
e03220,1.0,3.7
p08000,0.7,0.2
e03400,0.1,0.5
e09800,0.0,0.1
e09700,0.0,0.0
e03500,7.0,0.5
e87521,22.1,9.7
PT_binc_w2_wages,87.4,23.7
