table,datatype,year,fname,xlcolumn,xlrownum,incsort,incrange,vname,ptarget,table_description
tab11,filers,2015,15in11si.xls,D,10,1,All returns,agi,10210310102,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,10,1,All returns,agi,9550843480,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,11,2,No adjusted gross income,agi,-203775058,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,11,2,No adjusted gross income,agi,-11205340,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,12,3,"$1 under $5,000",agi,26240798,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,12,3,"$1 under $5,000",agi,618320,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,13,4,"$5,000 under $10,000",agi,86411986,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,13,4,"$5,000 under $10,000",agi,15192318,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,14,5,"$10,000 under $15,000",agi,152752468,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,14,5,"$10,000 under $15,000",agi,55477077,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,15,6,"$15,000 under $20,000",agi,195857688,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,15,6,"$15,000 under $20,000",agi,90912494,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,16,7,"$20,000 under $25,000",agi,224230854,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,16,7,"$20,000 under $25,000",agi,121750234,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,17,8,"$25,000 under $30,000",agi,242572775,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,17,8,"$25,000 under $30,000",agi,146181190,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,18,9,"$30,000 under $40,000",agi,519525813,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,18,9,"$30,000 under $40,000",agi,369572078,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,19,10,"$40,000 under $50,000",agi,520845982,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,19,10,"$40,000 under $50,000",agi,435619765,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,20,11,"$50,000 under $75,000",agi,1228299087,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,20,11,"$50,000 under $75,000",agi,1151973236,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,21,12,"$75,000 under $100,000",agi,1111174843,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,21,12,"$75,000 under $100,000",agi,1089297857,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,22,13,"$100,000 under $200,000",agi,2506497828,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,22,13,"$100,000 under $200,000",agi,2490230694,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,23,14,"$200,000 under $500,000",agi,1546515483,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,23,14,"$200,000 under $500,000",agi,1543960697,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,24,15,"$500,000 under $1,000,000",agi,597676645,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,24,15,"$500,000 under $1,000,000",agi,596974293,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,25,16,"$1,000,000 under $1,500,000",agi,236499605,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,25,16,"$1,000,000 under $1,500,000",agi,236224322,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,26,17,"$1,500,000 under $2,000,000",agi,137686352,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,26,17,"$1,500,000 under $2,000,000",agi,137536975,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,27,18,"$2,000,000 under $5,000,000",agi,346864436,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,27,18,"$2,000,000 under $5,000,000",agi,346536881,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,28,19,"$5,000,000 under $10,000,000",agi,195661353,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,28,19,"$5,000,000 under $10,000,000",agi,195491016,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,D,29,20,"$10,000,000 or more",agi,538771167,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,I,29,20,"$10,000,000 or more",agi,538499373,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,10,1,All returns,nret_all,150493263,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,10,1,All returns,nret_all,99040729,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,11,2,No adjusted gross income,nret_all,2072066,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,11,2,No adjusted gross income,nret_all,6640,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,12,3,"$1 under $5,000",nret_all,10134704,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,12,3,"$1 under $5,000",nret_all,199683,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,13,4,"$5,000 under $10,000",nret_all,11398595,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,13,4,"$5,000 under $10,000",nret_all,1926254,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,14,5,"$10,000 under $15,000",nret_all,12219480,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,14,5,"$10,000 under $15,000",nret_all,4333058,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,15,6,"$15,000 under $20,000",nret_all,11228447,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,15,6,"$15,000 under $20,000",nret_all,5195437,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,16,7,"$20,000 under $25,000",nret_all,9981450,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,16,7,"$20,000 under $25,000",nret_all,5404801,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,17,8,"$25,000 under $30,000",nret_all,8832875,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,17,8,"$25,000 under $30,000",nret_all,5319345,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,18,9,"$30,000 under $40,000",nret_all,14913880,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,18,9,"$30,000 under $40,000",nret_all,10563700,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,19,10,"$40,000 under $50,000",nret_all,11625418,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,19,10,"$40,000 under $50,000",nret_all,9702501,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,20,11,"$50,000 under $75,000",nret_all,19980117,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,20,11,"$50,000 under $75,000",nret_all,18684013,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,21,12,"$75,000 under $100,000",nret_all,12821791,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,21,12,"$75,000 under $100,000",nret_all,12562177,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,22,13,"$100,000 under $200,000",nret_all,18532593,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,22,13,"$100,000 under $200,000",nret_all,18402358,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,23,14,"$200,000 under $500,000",nret_all,5428176,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,23,14,"$200,000 under $500,000",nret_all,5418598,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,24,15,"$500,000 under $1,000,000",nret_all,884335,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,24,15,"$500,000 under $1,000,000",nret_all,883288,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,25,16,"$1,000,000 under $1,500,000",nret_all,195905,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,25,16,"$1,000,000 under $1,500,000",nret_all,195676,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,26,17,"$1,500,000 under $2,000,000",nret_all,79971,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,26,17,"$1,500,000 under $2,000,000",nret_all,79884,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,27,18,"$2,000,000 under $5,000,000",nret_all,116718,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,27,18,"$2,000,000 under $5,000,000",nret_all,116605,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,28,19,"$5,000,000 under $10,000,000",nret_all,28680,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,28,19,"$5,000,000 under $10,000,000",nret_all,28655,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,filers,2015,15in11si.xls,B,29,20,"$10,000,000 or more",nret_all,18061,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,G,29,20,"$10,000,000 or more",nret_all,18057,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,10,1,All returns,nret_taxac,99021502,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,11,2,No adjusted gross income,nret_taxac,6628,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,12,3,"$1 under $5,000",nret_taxac,199683,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,13,4,"$5,000 under $10,000",nret_taxac,1926254,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,14,5,"$10,000 under $15,000",nret_taxac,4333058,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,15,6,"$15,000 under $20,000",nret_taxac,5195437,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,16,7,"$20,000 under $25,000",nret_taxac,5404801,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,17,8,"$25,000 under $30,000",nret_taxac,5319345,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,18,9,"$30,000 under $40,000",nret_taxac,10561750,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,19,10,"$40,000 under $50,000",nret_taxac,9701526,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,20,11,"$50,000 under $75,000",nret_taxac,18683039,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,21,12,"$75,000 under $100,000",nret_taxac,12561202,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,22,13,"$100,000 under $200,000",nret_taxac,18399987,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,23,14,"$200,000 under $500,000",nret_taxac,5409762,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,24,15,"$500,000 under $1,000,000",nret_taxac,881330,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,25,16,"$1,000,000 under $1,500,000",nret_taxac,195087,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,26,17,"$1,500,000 under $2,000,000",nret_taxac,79731,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,27,18,"$2,000,000 under $5,000,000",nret_taxac,116288,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
